Name,Address,City,StateProvince,Country,Latitude,Longitude,Photo,Description,Website Link,InterestTags,Budget,TimeOpen,TimeClosed,Time to Visit,DaysOpen,DaysClosed,HourstoComplete,MustSee,Group
Shibuya Crossing,"2 Chome-2, 2-chōme-2 Dōgenzaka, Shibuya City",Tokyo,Kantō,Japan,35.6595,139.7006,TOK_SC_01.jpg,"The Shibuya Crossing has been the hottest photo spot in past years, and many tourists waiting for the best moment for a shoot at the corner of crossing. The world’s busiest crossing are passed by about a half million people daily, the view of passengers coming from the all directions at once when the traffic lights turn green is simply stunning. At peak times, Shibuya crossing has literally thousands of people walking across it every two minutes. Lark! recommends sitting on the top floor of the Starbucks nearby to catch the action.
Shibuya is known as Tokyo’s most trendy district and it’s home to a lot of Japan’s young culture. Numbers of large shopping malls, small boutiques, discount stores, bars, clubs, cafes and restaurants are located here. The crossing and the surrounding area often becomes a place for unofficial street celebration for young people.",https://en.wikipedia.org/wiki/Shibuya#Shibuya_Crossing,"1900,1910,2000",Free,00:01,23:59,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1,No,1
Harajuku Shopping Streets,"1-Chome-17 Jingūmae, Shibuya City",Tokyo,Kantō,Japan,35.670809,139.705634,TOK_HSS_01.jpg,"The kingdom of Kawaii culture, Harajuku is home to hundreds of chic and stylish boutiques and trendy shopping malls. Harajuku’s Takeshita Street is the center of teenage culture where visitors can hunt trendy and colorful fashion items and unique variety goods at surprisingly affordable prices.There are also numbers of high street clothing brand stores on the backstreets of Harajuku area such as Bape and Supreme. On the main streets of Harajuku, Omotesando Street and Meiji Street, there are large shopping malls like PARCO, Tokyu Plaza, and Omotesando Hills which have other boutiques people of all ages love.",https://www.japan-guide.com/e/e3006.html,2000,$$,08:00,21:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2.5,No,1
Tsukiji Market,"5 Chome-2-1 Tsukiji, Chuo City",Tokyo,Kantō,Japan,35.6655,139.7707,TOK_TM_01.jpg,"Tsukiji Fish Market was known as the world biggest wholesale market, and has been a top tourist attraction of Tokyo for many years. In 2018, the wholesale market (inner market) of Tsukiji has been relocated to the brand-new Toyosu Market. The famous tuna auction can be seen now at Toyosu Market.Although the Tsukiji Fish Market has moved away, the outer market of Tsukiji remains same as before, and it’s absolutely worth visiting. Tsukiji Outer Market is where hundreds of restaurants and shops gather including Sushi restaurants, groceries, kitchen utensils stores and Japanese knife shops.",http://www.tsukiji.or.jp/english/,"1600,1670,2000,2010,2100",$$,05:00,14:00,Morning,"Mon, Tues, Wed, Thurs, Fri, Sat",Sun,1.5,No,3
Toyosu Fish Market,"6-Chome-3 Toyosu, Koto City",Tokyo,Kantō,Japan,35.6457,139.7879,TOK_TFM_01.jpg,"Tsukiji Fish Market was known as the world biggest wholesale market, and has been a top tourist attraction of Tokyo for many years. In 2018, the wholesale market (inner market) of Tsukiji has been relocated to the brand-new Toyosu Market. The famous tuna auction can be seen now at Toyosu Market.The restauranteurs who purchase the truly impressive fish at Toyosu get these in the early hours of the morning (think 5am), so go early to see the fish auction of a lifetime.",https://www.japan-guide.com/e/e3013_market.html,"1600,1670,2000,2010,2100",Free,05:00,17:00,Morning,"Mon, Tues, Wed, Thurs, Fri, Sat",Sun,1,No,2
Ghibli Museum,"1 Chome-1-83 Shimorenjaku, Mitaka",Tokyo,Kantō,Japan,35.6962,139.5704,TOK_GM_01.jpg,"Studio Ghibli is a famous animation studio by Hayao Miyazaki who has produced numbers of popular films worldwide such as My Neighbour Totoro, Castle in the Sky, Nausicaa, Princess Mononoke, Spirited Away and Ponyo on the Cliff. The Ghibli Museum is the only museum in Tokyo that is dedicated to the work of Studio Ghibli. The museum features the art and technique of his animation, and some famous film characters such as a replica of Cat Bus from My Neighbour Totoro and a robot from Castle in the Sky. There is also a cafe and gift shop inside the museum.
Advance booking is required for Ghibli Museum (tickets are not sold at the museum), so make sure to reserve tickets online before visiting.",http://www.ghibli-museum.jp/en/,"1100,1110,1700",$,10:00,18:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2,No,4
Yanaka Ginza,"3 Chome-13-1 Yanaka, Taitō-ku",Tokyo,Kantō,Japan,35.7277,139.7668,TOK_YG_01.jpg,"Historically, the shitamachi (low city) was where the less affluent worked and lived. Today, few places remain in Tokyo where visitors can experience the old world, but with its ramshackle, frozen-in-time atmosphere, Yanaka Ginza shopping district is one of them. Yanaka Ginza, is lined with numbers of small stores where local people shop, eat and hang out, and visitors can observe the real daily lives of locals.
While it’s nothing too fabulous or trendy, this area has the authentic old Tokyo vibe, and has become one of hottest spots in town among Tokyoites in 2017, and for sure it will be soon among foreign visitors.",https://www.japanvisitor.com/tokyo-area-guides/yanaka-ginza,"2000,2100",$,09:00,20:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1.5,No,4
Hanayashiki Amusement Park,"2 Chome-28-1 Asakusa, Taito City",Tokyo,Kantō,Japan,35.7152,139.795,TOK_HAM_01.jpg,"Hanayashiki was opened as a flower park in 1853, when Commodore of the US Navy Matthew Calbraith Perry visited our country in the late Edo era. Nowadays, Hanayashiki is operating as an amusement park where it is overflowing with 20 kinds of attractions and lunchrooms. Shops in the park also have a wide range of souvenirs, like park original goods!",https://www.hanayashiki.net/en,"1300,1400",$$,10:00,18:00,Afternoon,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,4,No,5
Electric Town,"Akihabara, Taito City",Tokyo,Kantō,Japan,35.702283,139.774387,TOK_ET_01.jpg,"Tokyo’s Electric Town wows visitors with its sheer volume of anime, manga and gaming paraphernalia available. Visitors can find anything they need to complete any collection – comics, DVDs, detailed figurines, trading and playing cards, costumes, magazines and an endless supply of knick-knacks. It’s also the place to check out Tokyo’s quirky maid cafés.",https://www.gotokyo.org/en/spot/55/index.html,"1910,2000,2100",$,09:00,01:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1.5,No,3
Ryogōku Kokugikan,"1 Chome-3-28 Yokoami, Sumida City",Tokyo,Kantō,Japan,35.697,139.7933,TOK_RK_01.jpg,"Only three of six official grand tournaments happen in Tokyo, all at Ryogōku Kokugikan. The stadium houses over 11,000 eager fans under its green, pavilion-style roof. The three tournaments last just over two weeks each in January, May and September, which means Ryoguku Kokugikan sometimes hosts other events (boxing, for example). When sumo wrestlers don't participate in tournaments, they practice every day. But sumo is the arena's feature attraction, and for visitors hoping to see sumo in Tokyo, this is where to find it.Visit the Ryogōku Kokugikan website for upcoming match details, tickets, and more information.",http://www.sumo.or.jp/En/,1400,$$,See website,See website,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,3,No,1
Sumo Museum,"1 Chome−3−28, Yokoami, Sumida City",Tokyo,Kantō,Japan,35.6971,139.7931,TOK_SM_02.jpg,"The Sumo Museum was opened in September 1954 to coincide with the completion of professional sumo's new home, the Kuramae Kokugikan. Based on the materials gathered over the years by its first curator, Sakai Tadamasa, it was created to protect and preserve the rich historical heritage of Japan's national sport. In January 1985 the museum moved to its present location when tournament sumo returned to Ryogoku with the opening of the Ryogoku Kokugikan.The major function of the museum is to gather and preserve a wide range of materials related to the history of sumo, from woodblock prints and banzuke (official listings of rank) to the ceremonial aprons worn by the great rikishi of the past. These items are then displayed in themed exhibitions held six times a year. The museum also functions as a research center, continuously studying and reviewing sumo history as an integral part of Japanese culture.",http://www.sumo.or.jp/EnSumoMuseum/,"1400,1600",Free,10:00,16:30,Afternoon,"Mon, Tues, Wed, Thurs, Fri","Sun, Sat",1.5,No,4
Tokyo National Museum,"13-9 Uenokōen, Taito City",Tokyo,Kantō,Japan,35.7188,139.7765,TOK_TNM_01.jpg,"The institution itself is a national treasure—it's Japan's oldest museum. It also happens to be in one of Tokyo's oldest public parks, Ueno, which wanders a hundred or so acres and bursts with attractions like ancient shrines, temples, ponds, and over a thousand cherry blossom trees. Comprising the world's most comprehensive collection of Japanese art, the museum displays the tip of the iceberg, rotating its 110,000 artifacts regularly throughout five distinct exhibition buildings.

Visit the Tokyo National Museum website for current exhibition details and more information.",https://www.tnm.jp/modules/r_free_page/index.php?id=113,"1100,1700,1900",$,09:30,17:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2,No,3
National Museum of Western Art,"7-7 Uenokoen, Taito City",Tokyo,Kantō,Japan,35.7154,139.7758,TOK_NMWA_01.jpg,"The National Museum of Western Art was established in April 1959 and was based on the Matsukata Collection focusing on the Impressionist paintings and Auguste Rodin's sculptures previously stored by the French government. The museum's purpose is to provide the public with opportunities to appreciate western art. Since its opening, the museum, as Japan's only national institution devoted to western art, has been involved in exhibitions, art work and document acquisition, research, restoration and conservation, education and the publication of materials related to western art.
The museum exhibits works from the Matsukata Collection as well as works created from the Renaissance to the early 20th century that have been acquired since the museum's opening. The museum has purchased art work every year since its establishment in its efforts to build and develop its permanent collection. These permanent collection works are displayed in the Main Building (Le Corbusier, 1959) and New Wing (MAEKAWA Kunio, 1979) throughout the year.
Visit the NMWA website for current exhibition details and more information.",https://www.nmwa.go.jp/en/,1100,$,09:30,17:30,All,"Sun, Tues, Wed, Thurs, Fri, Sat",Mon,1.5,No,4
Tokyo Metropolitan Art Museum,"8-36 Uenokoen, Taito City",Tokyo,Kantō,Japan,35.7172,139.7738,TOK_TMAM_01.jpg,"Tokyo Metropolitan Art Museum began as “Tokyo Prefectural Art Museum.” Its year of founding, 1926, marked a transition from Taisho (1912-26) to a new era in Japan’s history, Showa (1926-89). Already, major art exhibitions were held annually in Ueno Park. These included the September Inten (Japan Art Institute Exhibition) and Nikaten (Nika Association), and the October Bunten (Ministry of Education Exhibition). Tokyo Prefectural Art Museum eventually became the central venue for these important annual exhibitions. The many art exhibitions held in autumn gave rise to the popular notion in Japan of “autumn, season of the arts.”
There were no Public Museum of Art in Japan until Tokyo Prefectural Art Museum opened. “In Europe, the art museum is a visible symbol of a city’s cultural identity,” people said, and there was a groundswell of opinion: “Japan needs an art museum or it will fall behind the West.”Visit the Tokyo Metropolitan Art Museum website for current exhibition details and more information.",https://www.tobikan.jp/en/,1100,Free,09:30,17:30,All,"Sun, Tues, Wed, Thurs, Fri, Sat",Mon,2.5,No,2
Shitamachi Museum,"2-1 Uenokoen, Taito City",Tokyo,Kantō,Japan,35.7102,139.7727,TOK_SM_01.jpg,"This museum was established to teach future generations about the culture of the shitamachi. The shitamachi was originally an area of Edo* where the common people lived. The word shitamachi is composed of the word shita meaning ""down"" and machi meaning ""town,"" and one can often see it translated into English literally as ""downtown."" However, shitamachi is not the same as the English word downtown, which refers to a city's central business district. The shitamachi name originated from the actual level of the land in the area. In Edo, the land to the south-east of Edo Castle (now the Imperial Palace) was lowlands, and the land to the north-west was a plateau, and during the formative years of the city, the lowlands became the place where artisans and merchants lived. This lowlands area near Edo Castle became known as shitamachi.",http://www.taitocity.net/zaidan/english/shitamachi/,1600,$,09:30,16:30,All,"Sun, Tues, Wed, Thurs, Fri, Sat",Mon,1.5,No,4
Tokyo Skytree,"1 Chrome-1-2 Oshiage, Sumida City",Tokyo,Kantō,Japan,35.7101,139.8107,TOK_TS_01.jpg,"Spend an evening exploring the world’s tallest tower, the 634-metre-high (2,080-foot) Tokyo Skytree. Check out the boutiques on the way up to the observation decks, where visitors will get unrivaled 360-degree views of the city; on clear days, it is event possible to see Mount Fuji. Skytree Town (also known as Solamachi) at the base of the tower is where visitors will find many shopping and dining options.",www.tokyo-skytree.jp,"1700,1900,1910",$$$,08:00,21:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1,No,2
Kabuki-za,"4 Chome-12-15 Ginza, Chuo City",Tokyo,Kantō,Japan,35.6695,139.7678,TOK_KZ_01.jpg,"Kabuki is a traditional Japanese dance drama that has wowed audiences for hundreds of years with its elaborate costumes, make-up and sets. The recently rebuilt Kabuki-za is the chief kabuki theatre in the region and still retains its traditional charms.Visit the Kabuki-za website for upcoming show details, tickets, and more information.",https://www.kabukiweb.net/theatres/kabukiza/,1120,$$$,See website,See website,Evening,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2.5,No,2
Imperial Palace,"1-1 Chiyoda, Chiyoda City",Tokyo,Kantō,Japan,35.6852,139.7528,TOK_IP_01.jpg,"The Japanese royal family – the longest-running hereditary monarchy in the world – makes its home at this beautiful castle complex in Central Tokyo. Bookings must be made for tours of the Imperial Palace grounds, but the Imperial Palace East Garden is open to visitors year-round. On the other side of the moat, Chidori-ga-fuchi is a popular cherry-blossom spot.",https://en.wikipedia.org/wiki/Tokyo_Imperial_Palace,"1000,1600,1700",Free,09:00,17:00,All,"Sun, Tues, Wed, Thurs, Sat","Mon, Fri",1.5,No,4
Meiji Shrine,"1-1 Yoyogikamizonocho, Shibuya City",Tokyo,Kantō,Japan,35.6764,139.6993,TOK_MS_01.jpg,"This shrine was built in honour of Emperor Meiji and his wife, Empress Shōken. With its thickly wooded grounds, skyscraping torii gates and proximity to tourist spots such as Harajuku, Omotesandō and Shibuya, it’s easy to see why it remains one of the city’s most popular Shinto shrines.Although the towering gates of Meiji Jingu are a great draw, another special sight inside the spacious grounds are the rows upon rows of kazaridaru (decorative sake barrels) lining the walkway. So why are there so many? Every year, the barrels are donated by sake brewers from all over Japan and offered to the shrine deities at Meiji Jingu.",https://www.japan-guide.com/e/e3002.html,"1600,1700,1900,1910",Free,07:00,16:00,Morning,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1.5,No,1
Tokyo Dome Arena,"1 Chome-3-61 Koraku, Bunkyo City",Tokyo,Kantō,Japan,35.7035,139.7519,TOK_TDA_01.jpg,"The Yomiuri Giants, Japan’s oldest professional baseball team, call the Tokyo Dome home. Catch a game or spend an hour browsing the nearby Japanese Baseball Hall of Fame.Visit the Tokyo Dome website for upcoming game details, tickets, and more information.",https://www.tokyo-dome.co.jp/en/tourists/dome/,"1300,1400",$$,See website,See website,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,3,No,3
Ōedo-Onsen Monogatari,"2 Chome-6-3 Aomi, Koto City",Tokyo,Kantō,Japan,35.6158,139.7778,TOK_OOM_01.jpg,"For visitors who are tattoo-free (or have ink small enough to cover discreetly), make way to Ōedo-Onsen Monogatari for a traditional-meets-modern onsen experience. This Edo-themed hot spring park lends out colourful yukata to all guests so visitors can look the part.Visit the Ōedo-Onsen Monogatari website for more information.",https://daiba.ooedoonsen.jp/en/,1600,$$$,11:00,09:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2,No,3
Hamarikyu Onshi Teien,"1 Chome-4 Kaigan, Minato City",Tokyo,Kantō,Japan,35.659781,139.763471,TOK_HOT_01.jpg,"This traditional Japanese strolling garden was once the property of the Tokugawa clan, the local shoguns (rulers) when Tokyo was called Edo. A seawater moat surrounds Hamarikyu, and entry is possible via a water taxi from Akasaka. Don’t forget to visit the antique teahouse located within its walls, Nakajima no Ochaya, for the full experience.",https://www.japanvisitor.com/japan-parks-gardens/hama-rikyu-garden,"1000,1900",Free,09:00,17:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1.5,No,5
Golden Gai,"1 Chome-1-6 Kabukicho, Shinjuku City",Tokyo,Kantō,Japan,35.6938,139.7046,TOK_GG_01.jpg,"A pre-war maze of narrow alleys filled with two-storey bars, Golden Gai is quite a contrast to its surroundings, the glitzy megalopolis of Shinjuku. This clutch of narrow streets, tucked in the shadows of Shinjuku, is lined with hundreds of low-slung dive bars with just a handful of seats, all recalling post-war debauchery. There's no order to the scene, and considering that bars are stacked—some at ground level, while some are located up steep, svelte staircases—it's just as fascinating to wander aimlessly as it is to arrive with a game plan. With most of the bars so small they can only accommodate a handful of customers, seating charges are hefty, but soaking up the local charm makes it all worthwhile. Note that Golden Gai has become popular with tourists in recent years, but every now and then visitors will still encounter the odd “Locals Only” sign or chilly reception to newcomers. ",https://tokyocheapo.com/food-and-drink/quick-guide-golden-gai/,"1500,1900,1910,2100",$$,16:00,02:00,Evening,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2.5,No,2
Mount Mitake,御岳山 Mitakesan Ome,Tokyo,Kantō,Japan,35.7829,139.1495,TOK_MM_01.jpg,"Mount Mitake (御岳山, Mitakesan) is one of the many highlights of the Chichibu-Tama-Kai National Park, which covers more than 1250 square kilometers of forested mountains, hills, gorges and some rural towns in the prefectures of Yamanashi, Saitama, Nagano and Tokyo.
Besides a popular shrine, Mount Mitake offers various walking and hiking opportunities in virtually unspoiled nature. Located in the Okutama region, the westernmost part of Tokyo, the mountain can be reached in less than two hours from central Tokyo, making it popular escape for people looking for a break from the city.",https://matcha-jp.com/en/greatertokyo/5438,"1010,1600,2000",Free,06:00,19:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,3,No,4
Yayoi Kusama Museum,"107 Bentencho, Shinjuku City",Tokyo,Kantō,Japan,35.7032,139.7265,TOK_YKM_01.jpg,"In a suburban stretch of Shinjuku, a smooth white building rises five stories high—all devoted to the works of Yayoi Kusama. The building looks slim, but it houses a bulk of the larger-than-life and avant-garde artist's pieces, including a new installation of her ""infinity room"" series (an Instagram sensation which, in the past, drew hundreds of thousands of visitors in stateside exhibitions) to polka-dotted paintings and sculptures. Visit the Yayoi Kusama Museum website for current exhibitions, tickets, and more information.",https://yayoikusamamuseum.jp/en/about/museum/,"1100,1900,1910",$,11:00,17:30,Afternoon,"Sun, Thurs, Fri, Sat","Mon, Tues, Wed",2,No,1
Shinjuku Gyoen National Garden,"11 Naitomachi, Shinjuku City",Tokyo,Kantō,Japan,35.6852,139.7101,TOK_SGNG_01.jpg,"Fancy a stroll in a Japanese garden? Get that and more at Shinjuku Gyoen. In addition to native, traditional gardens, the 144-acre park pockets French Formal and English Landscape gardens, all of which are worth the modest entrance fee. Landmarks are stunning and impossible to forget, like a Taiwan Pavilion perched along a serene pond. Formerly an imperial garden, it became a national garden after World War II—so visitors can trust that this precious plot is always beautifully maintained.",https://en.wikipedia.org/wiki/Shinjuku_Gyo-en,"1000,1010,1900,1910",$,09:00,16:00,Morning,"Sun, Tues, Wed, Thurs, Fri, Sat",Mon,1.5,No,3
Ginza Six,"6 Chome-10-1 Ginza, Chuo City",Tokyo,Kantō,Japan,35.6696,139.764,TOK_GS_01.jpg,"Ginza Six is a sparkling new shopping complex, designed by architect Yoshio Taniguchi, that commands over 500,000 square feet and spans a whole city block. Over 241 shops weave throughout the glowing interiors where floorplans are inspired by alleyways in Kyoto and Ginza. Customers meander and stumble upon treasures from native designers to international brands like House of Dior and Rag & Bone.",https://ginza6.tokyo/welcome-to-gsix,2000,$$,10:30,20:30,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1.5,No,5
Nezu Museum,"6 Chome-5-1 Minamiaoyama, Minato City",Tokyo,Kantō,Japan,35.6616,139.7177,TOK_NM_01.jpg,"This serene museum in the Aoyama district, redesigned by celebrated architect Kengo Kuma, is a contemporary temple for traditional art. A long, covered outdoor path alongside bamboo-clad walls serves as a minimalist entrance, but once inside, double-height interiors and glass walls stretch over 40,000 square feet while keeping the experience intimate. And while the museum mixes contemporary design and traditional art on the inside—over 7,400 pieces—the outside counts, too: The property is home to a stunning private garden that's worth the visit all on its own.Visit the Nezu Museum website for current exhibition details and more information.",http://www.nezu-muse.or.jp/en/,"1000,1100,1700",$$,10:00,17:00,All,"Sun, Tues, Wed, Thurs, Fri, Sat",Mon,2,No,4
Karaoke Kan,"9, 4-chōme, Roppongi Minato-ku",Tokyo,Kantō,Japan,35.662715,139.733114,TOK_KK_01.jpg,"Karaoke-kan is a typical karaoke bar, housed in a skinny building with a series of floors broken into private rooms. The look changes depending on the room, but most are decked out with leather booths, brightly painted walls, and colorful disco lights. The drinks are cheap and boozy, and food staples are french fries and pizza. For visitors want to visit a karaoke bar that knows how to handle international travelers (thank its scene in Lost in Translation for that), this one is cheap, easy, and right in Shibuya.",http://www.karaokekan.jp/,1540,$,12:00,06:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2,No,1
Yoyogi Park,"2-1 Yoyogikamizonocho, Shibuya City",Tokyo,Kantō,Japan,35.6716,139.6967,TOK_YP_01.jpg,"Yogi Park is one of the most amusing parks in Tokyo. Its 134 acres sprawl right in Shibuya, a short skip from Harajuku, and bustle with picnics and performers. The northern side is lush, with clean walkways along expansive, grassy lawns where locals and tourists spread under the shade of Japanese Zelkova trees, and gather around a large pond. Spot impromptu badminton team swinging racquets, a drum circle tapping away at the bongo, or amateur dancers following along to the beat.",https://en.wikipedia.org/wiki/Yoyogi_Park,"1000,1010,1300,1400,1900,2100",Free,05:00,20:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2,No,2
